,lr,n_est,max_depth,m,score,case,standardize
352,0.5,40.0,7.0,80.0,0.9550952756927092,case4,0.0
353,0.5,40.0,7.0,80.0,0.9535629583876386,case4,1.0
354,0.5,50.0,7.0,80.0,0.9535440751287971,case4,0.0
355,0.5,50.0,7.0,80.0,0.9521904008563498,case4,1.0
356,0.5,60.0,7.0,80.0,0.9587297207581343,case4,0.0
357,0.5,60.0,7.0,80.0,0.9605764334334046,case4,1.0
358,0.5,70.0,7.0,80.0,0.9590355326910978,case4,0.0
359,0.5,70.0,7.0,80.0,0.9585850371727114,case4,1.0
360,0.1,30.0,5.0,100.0,0.942443300786621,case5,0.0
361,0.1,30.0,5.0,100.0,0.9428470816144895,case5,1.0
362,0.1,40.0,5.0,100.0,0.9455061713868022,case5,0.0
363,0.1,40.0,5.0,100.0,0.9463067700218541,case5,1.0
364,0.1,50.0,5.0,100.0,0.9498292657959642,case5,0.0
365,0.1,50.0,5.0,100.0,0.9510650937936302,case5,1.0
366,0.1,60.0,5.0,100.0,0.9535642943893757,case5,0.0
367,0.1,60.0,5.0,100.0,0.9538152438320671,case5,1.0
368,0.1,30.0,5.0,240.0,0.9456446461604047,case6,0.0
369,0.1,30.0,5.0,240.0,0.9453076885887096,case6,1.0
370,0.1,40.0,5.0,240.0,0.9497330742554352,case6,0.0
371,0.1,40.0,5.0,240.0,0.9507204317442275,case6,1.0
372,0.1,50.0,5.0,240.0,0.9544239493026068,case6,0.0
373,0.1,50.0,5.0,240.0,0.9541635723918311,case6,1.0
374,0.1,60.0,5.0,240.0,0.9560137433146204,case6,0.0
375,0.1,60.0,5.0,240.0,0.9563939688577939,case6,1.0
376,0.1,70.0,5.0,240.0,0.9608458046205527,case6,0.0
377,0.1,70.0,5.0,240.0,0.9607365001021424,case6,1.0
378,0.3,30.0,5.0,240.0,0.9585857089863652,case6,0.0
379,0.3,30.0,5.0,240.0,0.9589210663592113,case6,1.0
380,0.3,40.0,5.0,240.0,0.9620138020221566,case6,0.0
381,0.3,40.0,5.0,240.0,0.9610052652974419,case6,1.0
382,0.3,50.0,5.0,240.0,0.9618308716835546,case6,0.0
383,0.3,50.0,5.0,240.0,0.9608269974781025,case6,1.0
384,0.3,60.0,5.0,240.0,0.9648084471016117,case6,0.0
385,0.3,60.0,5.0,240.0,0.9648805717594696,case6,1.0
386,0.3,70.0,5.0,240.0,0.9632897297242147,case6,0.0
387,0.3,70.0,5.0,240.0,0.9637110825552382,case6,1.0
388,0.5,30.0,5.0,240.0,0.9595153793105851,case6,0.0
389,0.5,30.0,5.0,240.0,0.9590048390065119,case6,1.0
390,0.5,40.0,5.0,240.0,0.960360706754314,case6,0.0
391,0.5,40.0,5.0,240.0,0.95959095481184,case6,1.0
392,0.5,50.0,5.0,240.0,0.9620000580154364,case6,0.0
393,0.5,50.0,5.0,240.0,0.9618385949760612,case6,1.0
394,0.5,60.0,5.0,240.0,0.9661593591610943,case6,0.0
395,0.5,60.0,5.0,240.0,0.9659715287957272,case6,1.0
396,0.5,70.0,5.0,240.0,0.9649899683277271,case6,0.0
397,0.5,70.0,5.0,240.0,0.9651592252862544,case6,1.0
398,0.1,30.0,6.0,240.0,0.9502368636589591,case6,0.0
399,0.1,30.0,6.0,240.0,0.950855680816414,case6,1.0
400,0.1,40.0,6.0,240.0,0.9548243913327322,case6,0.0
401,0.1,40.0,6.0,240.0,0.955694734344991,case6,1.0
402,0.1,50.0,6.0,240.0,0.9576669614704996,case6,0.0
403,0.1,50.0,6.0,240.0,0.9560726561323175,case6,1.0
404,0.1,60.0,6.0,240.0,0.9572341434266732,case6,0.0
405,0.1,60.0,6.0,240.0,0.9585529724799169,case6,1.0
406,0.1,70.0,6.0,240.0,0.9615929876486495,case6,0.0
407,0.1,70.0,6.0,240.0,0.9612377266585707,case6,1.0
